IssueName,Paper,Conference/Journal/Onlie
unchecked low-level checks,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Transaction State Dependency,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Strict Balance Equality,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
DoS under External Influence,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Reentrancy,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Nested Call,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Greedy Contract,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Unchecked External Call,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Block Info Dependency,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Unchecked External Calls,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Unmatched Type Assignment,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Misleading Data Location,DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode,TSE
Hard Code Address,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Unchecked External Calls,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Strict Balance Equality,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Transaction State Dependency,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Hard Code Address,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Nested Call,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Unspecified Compiler Version,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Unused Statement,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Missing Return Statement,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Missing Reminder,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
High Gas Consumption Function Type,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
DoS Under External Influence,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Unmatched Type Assignment,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Re-entrancy,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Block Info Dependency,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Deprecated APIs,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Misleading Data Location,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Unmatched ERC-20 standard,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Missing Interrupter,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
Greedy Contract,DEFINING SMART CONTRACT DEFECTS ON ETHEREUM,TSE
High Gas Consumption Data Type,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Overflow/Underflow,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Blockhash/Timestamp,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Implicit Visibility/HoneyPot,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Overpowered User/Owner CVE,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Reentrancy,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Gas Consumption/Gas Limit,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Incorrect Signature/Replay,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
TransferFlaw/ERC-20 Transfer,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Overflow/Batch Overflow,CHECKING SMART CONTRACTS WITH STRUCTURAL CODE EMBEDDING,TSE
Unsafe Reverse/Verify Reverse,A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts,ESEM
Transaction-Ordering Dependence,A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts,ESEM
Timestamp Dependence,A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts,ESEM
Mishandled Exceptions,A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts,ESEM
Reentrancy,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Time Dependency,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Number Dependency,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Gasless Send,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Exception Disorder,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Delegate Dangerous,SMARTGIFT: Learning to Generate Practical Inputs for Testing Smart Contracts,ICSME
Reentrancy,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Integer Sign,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Wrong Operator,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Uninitialized Storage Variables,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Re-entrancy Vulnerability,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Short Address Attack,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Signature With Wrong Parameter,A Framework and DataSet for Bugs in Ethereum Smart Contracts,ICSME
Transaction Order Dependence,Peculiar: Smart Contract Vulnerability Detection Based on Crucial Data Flow Graph and Pre-training Techniques,ISSRE
Reentrancy,MPro: Combining Static and Symbolic Analysis for Scalable Testing of Smart Contract,ISSRE
Reentrancy,MPro: Combining Static and Symbolic Analysis for Scalable Testing of Smart Contract,ISSRE
Unrestricted Suicide,Analysis Of The Relationship Between Smart Contracts’ Categories and Vulnerabilities,SANER
Arithmetic overflows and underflows.,Analysis Of The Relationship Between Smart Contracts’ Categories and Vulnerabilities,SANER
Unexpected code execution due to the DELEGATECALL opcode.,Analysis Of The Relationship Between Smart Contracts’ Categories and Vulnerabilities,SANER
Unexpected loss of Ether due to improper use of the suicide/selfdestruct function.,Analysis Of The Relationship Between Smart Contracts’ Categories and Vulnerabilities,SANER
Block timestamps manipulation.,Analysis Of The Relationship Between Smart Contracts’ Categories and Vulnerabilities,SANER
Improper iterations over array or mapping with a big amount of elements.,ETHPLOIT: From Fuzzing to Efficient Exploit Generation against Smart Contracts,SANER
Unchecked Transfer Value,ETHPLOIT: From Fuzzing to Efficient Exploit Generation against Smart Contracts,SANER
Vulnerable Access Control,SMARTSHIELD: Automatic Smart Contract Protection Made Easy,SANER
State Changes after External Calls,SMARTSHIELD: Automatic Smart Contract Protection Made Easy,SANER
Missing Checks for Out-of-Bound Arithmetic Ops,SMARTSHIELD: Automatic Smart Contract Protection Made Easy,SANER
Delegate Call To Untrusted Contract,Mythril,GitHub
Dependence on Predictable Variables,Mythril,GitHub
Ether Thief,Mythril,GitHub
Exceptions,Mythril,GitHub
External Calls,Mythril,GitHub
Integer,Mythril,GitHub
Multiple Sends,Mythril,GitHub
Suicide,Mythril,GitHub
State Change External Calls,Mythril,GitHub
Unchecked Retval,Mythril,GitHub
User Supplied assertion,Mythril,GitHub
Arbitrary Storage Write,Mythril,GitHub
Arbitrary Jump,Mythril,GitHub
